FIPS,State,Area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
00000,US,United States,,,,"161,640,488","155,344,043","6,296,445",3.9,61937.00,
01000,AL,Alabama,,,,"2,198,837","2,112,347","86,490",3.9,49881.00,100.0
01001,AL,"Autauga County, AL",2,2,1,"25,957","25,015",942,3.6,59338.00,119.0
01003,AL,"Baldwin County, AL",3,2,1,"93,849","90,456","3,393",3.6,57588.00,115.5
01005,AL,"Barbour County, AL",6,6,0,"8,373","7,940",433,5.2,34382.00,68.9
01007,AL,"Bibb County, AL",1,1,1,"8,661","8,317",344,4.0,46064.00,92.3
01009,AL,"Blount County, AL",1,1,1,"25,006","24,128",878,3.5,50412.00,101.1
01011,AL,"Bullock County, AL",6,6,0,"4,776","4,552",224,4.7,29267.00,58.7
01013,AL,"Butler County, AL",6,6,0,"8,914","8,487",427,4.8,37365.00,74.9
01015,AL,"Calhoun County, AL",3,2,1,"45,972","43,833","2,139",4.7,45400.00,91.0
01017,AL,"Chambers County, AL",6,5,0,"15,276","14,679",597,3.9,39917.00,80.0
01019,AL,"Cherokee County, AL",6,6,0,"11,622","11,207",415,3.6,42132.00,84.5
01021,AL,"Chilton County, AL",1,1,1,"19,476","18,773",703,3.6,47547.00,95.3
01023,AL,"Choctaw County, AL",9,10,0,"4,694","4,434",260,5.5,39907.00,80.0
01025,AL,"Clarke County, AL",7,11,0,"7,627","7,057",570,7.5,40741.00,81.7
01027,AL,"Clay County, AL",9,10,0,"5,963","5,730",233,3.9,39201.00,78.6
01029,AL,"Cleburne County, AL",8,4,0,"5,743","5,499",244,4.2,46495.00,93.2
01031,AL,"Coffee County, AL",4,5,0,"20,817","19,995",822,3.9,55122.00,110.5
01033,AL,"Colbert County, AL",3,2,1,"23,258","22,184","1,074",4.6,49055.00,98.3
01035,AL,"Conecuh County, AL",7,11,0,"4,494","4,259",235,5.2,32613.00,65.4
01037,AL,"Coosa County, AL",8,3,0,"4,376","4,193",183,4.2,42423.00,85.0
01039,AL,"Covington County, AL",6,6,0,"15,617","14,902",715,4.6,40203.00,80.6
01041,AL,"Crenshaw County, AL",8,6,0,"6,298","6,041",257,4.1,39057.00,78.3
