,STCOUNTYFP,total_requested,FIPS,State,Area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,clean_fips,Population_2010,RUCC_2013,Description,state_code,state_name,State/Local Government,Non-Profit,For-Profit,Total
0,6037.0,540.0,6037,CA,"Los Angeles County, CA",1.0,1.0,1.0,"5,136,341","4,896,512","239,829",4.7,67986.0,90.3,06037,"9,818,605",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,CA,California,0.3,1.2,0.3,1.8
1,17031.0,352.0,17031,IL,"Cook County, IL",1.0,1.0,1.0,"2,611,512","2,506,103","105,409",4.0,63347.0,97.4,17031,"5,194,675",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,IL,Illinois,0.1,2.2,0.2,2.5
2,36061.0,222.0,36061,NY,"New York County, NY",1.0,1.0,1.0,"919,101","885,351","33,750",3.7,84610.0,125.1,36061,"1,585,873",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,NY,New York,0.5,2.2,,2.7
3,6085.0,205.0,6085,CA,"Santa Clara County, CA",1.0,1.0,1.0,"1,048,804","1,021,522","27,282",2.6,125933.0,167.4,06085,"1,781,642",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,CA,California,0.3,1.2,0.3,1.8
4,36047.0,158.0,36047,NY,"Kings County, NY",1.0,1.0,1.0,"1,211,721","1,160,501","51,220",4.2,60862.0,90.0,36047,"2,504,700",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,NY,New York,0.5,2.2,,2.7
5,53033.0,147.0,53033,WA,"King County, WA",1.0,1.0,1.0,"1,258,687","1,215,220","43,467",3.5,94822.0,128.1,53033,"1,931,249",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,WA,Washington,0.4,1.2,0.1,1.7
6,6001.0,143.0,6001,CA,"Alameda County, CA",1.0,1.0,1.0,"848,215","822,769","25,446",3.0,101744.0,135.2,06001,"1,510,271",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,CA,California,0.3,1.2,0.3,1.8
7,42091.0,132.0,42091,PA,"Montgomery County, PA",1.0,1.0,1.0,"449,387","433,965","15,422",3.4,90155.0,148.1,42091,"799,874",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,PA,Pennsylvania,0.0,2.5,0.3,2.9
8,6059.0,119.0,6059,CA,"Orange County, CA",1.0,1.0,1.0,"1,625,426","1,577,885","47,541",2.9,89373.0,118.8,06059,"3,010,232",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,CA,California,0.3,1.2,0.3,1.8
9,48113.0,116.0,48113,TX,"Dallas County, TX",1.0,1.0,1.0,"1,359,225","1,308,543","50,682",3.7,59838.0,98.7,48113,"2,368,139",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,TX,Texas,0.3,1.0,1.0,2.3
10,42101.0,111.0,42101,PA,"Philadelphia County/city, PA",1.0,1.0,1.0,"709,586","670,264","39,322",5.5,46149.0,75.8,42101,"1,526,006",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,PA,Pennsylvania,0.0,2.5,0.3,2.9
11,6075.0,105.0,6075,CA,"San Francisco County/city, CA",1.0,1.0,1.0,"575,567","562,022","13,545",2.4,110601.0,147.0,06075,"805,235",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,CA,California,0.3,1.2,0.3,1.8
12,25025.0,100.0,25025,MA,"Suffolk County, MA",1.0,1.0,1.0,"456,319","442,599","13,720",3.0,68743.0,86.1,25025,"722,023",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,MA,Massachusetts,0.0,1.8,0.4,2.3
13,4013.0,99.0,4013,AZ,"Maricopa County, AZ",1.0,1.0,1.0,"2,229,526","2,137,219","92,307",4.1,65234.0,110.4,04013,"3,817,117",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,AZ,Arizona,0.1,1.3,0.5,1.9
14,6073.0,99.0,6073,CA,"San Diego County, CA",1.0,1.0,1.0,"1,592,193","1,539,530","52,663",3.3,78777.0,104.7,06073,"3,095,313",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,CA,California,0.3,1.2,0.3,1.8
15,51059.0,97.0,51059,VA,"Fairfax County, VA",1.0,1.0,1.0,"630,229","614,909","15,320",2.4,122035.0,168.1,51059,"1,081,726",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,VA,Virginia,0.2,1.5,0.5,2.1
16,39049.0,96.0,39049,OH,"Franklin County, OH",1.0,1.0,1.0,"685,914","659,792","26,122",3.8,60383.0,107.5,39049,"1,163,414",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,OH,Ohio,0.3,2.4,0.2,2.8
17,9001.0,95.0,9001,CT,"Fairfield County, CT",2.0,2.0,1.0,"480,767","461,750","19,017",4.0,91183.0,119.4,09001,"916,829",2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",CT,Connecticut,0.1,2.0,,2.0
18,25027.0,84.0,25027,MA,"Worcester County, MA",2.0,2.0,1.0,"450,670","434,714","15,956",3.5,71767.0,89.9,25027,"798,552",2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",MA,Massachusetts,0.0,1.8,0.4,2.3
19,25017.0,83.0,25017,MA,"Middlesex County, MA",1.0,1.0,1.0,"923,768","898,786","24,982",2.7,100374.0,125.8,25017,"1,503,085",1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,MA,Massachusetts,0.0,1.8,0.4,2.3
